Fecha,Año,Mes,Dia,Trimestre,Dia_semana,semana,dia_año,Ventas
2015-08-08,2015,8,8,,7,32,,1907943.02
2015-08-09,2015,8,9,,1,33,,79746.08
2015-08-10,2015,8,10,,2,33,,5496474.33
2015-08-11,2015,8,11,,3,33,,18541609.55
2015-08-12,2015,8,12,,4,33,,258492111.2
2015-08-13,2015,8,13,,5,33,,58947875.89
2015-08-14,2015,8,14,,6,33,,158549125.5
2015-08-15,2015,8,15,,7,33,,24666961.16
2015-08-16,2015,8,16,,1,34,,308629.1
2015-08-17,2015,8,17,,2,34,,354222784.3
2015-08-18,2015,8,18,,3,34,,490815286.6
2015-08-19,2015,8,19,,4,34,,15277762.46
2015-08-20,2015,8,20,,5,34,,21474924.01
2015-08-21,2015,8,21,,6,34,,17571213.06
2015-08-22,2015,8,22,,7,34,,2295850.23
2015-08-23,2015,8,23,,1,35,,19127.6
2015-08-24,2015,8,24,,2,35,,12387613.97
2015-08-25,2015,8,25,,3,35,,11973769.06
2015-08-26,2015,8,26,,4,35,,8071660.1
2015-08-27,2015,8,27,,5,35,,11725424.76
2015-08-28,2015,8,28,,6,35,,15075686.34
2015-08-29,2015,8,29,,7,35,,9316278.51
2015-08-30,2015,8,30,,1,36,,36781.97
2015-08-31,2015,8,31,,2,36,,28904147.21
2015-09-01,2015,9,1,,3,36,,3394866.85
2015-09-02,2015,9,2,,4,36,,5574848.835
2015-09-03,2015,9,3,,5,36,,5280878.729
2015-09-04,2015,9,4,,6,36,,4355609.28
2015-09-05,2015,9,5,,7,36,,1216037.8
2015-09-06,2015,9,6,,1,37,,69849.31
2015-09-07,2015,9,7,,2,37,,13728556.99
2015-09-08,2015,9,8,,3,37,,15893060.34
2015-09-09,2015,9,9,,4,37,,254086672.9
2015-09-10,2015,9,10,,5,37,,41262789.41
2015-09-11,2015,9,11,,6,37,,88344291.77
2015-09-12,2015,9,12,,7,37,,25501654.77
2015-09-13,2015,9,13,,1,38,,112505.14
2015-09-14,2015,9,14,,2,38,,86644.14
2015-09-15,2015,9,15,,3,38,,145876.82
2015-09-16,2015,9,16,,4,38,,88959083.48
2015-09-17,2015,9,17,,5,38,,107594270.9
2015-09-18,2015,9,18,,6,38,,196437945.9
2015-09-19,2015,9,19,,7,38,,37051989.68
2015-09-20,2015,9,20,,1,39,,172136.76
2015-09-21,2015,9,21,,2,39,,238520979.7
2015-09-22,2015,9,22,,3,39,,329184904.2
2015-09-23,2015,9,23,,4,39,,10664188.56
2015-09-24,2015,9,24,,5,39,,7160172.901
2015-09-25,2015,9,25,,6,39,,10107637.69
2015-09-26,2015,9,26,,7,39,,5151091.36
2015-09-27,2015,9,27,,1,40,,18311.08
2015-09-28,2015,9,28,,2,40,,10658295.01
2015-09-29,2015,9,29,,3,40,,9179035.25
2015-09-30,2015,9,30,,4,40,,37644600.17
2015-10-01,2015,10,1,,5,40,,5413619.04
2015-10-02,2015,10,2,,6,40,,3728928.08
2015-10-03,2015,10,3,,7,40,,1155578.18
2015-10-04,2015,10,4,,1,41,,71152.52
2015-10-05,2015,10,5,,2,41,,4399860.847
2015-10-06,2015,10,6,,3,41,,5875162.676
2015-10-07,2015,10,7,,4,41,,7790620.541
2015-10-08,2015,10,8,,5,41,,17489924.23
2015-10-09,2015,10,9,,6,41,,31387497.83
2015-10-10,2015,10,10,,7,41,,5226148.03
2015-10-11,2015,10,11,,1,42,,60292.31
2015-10-12,2015,10,12,,2,42,,278179740.1
2015-10-13,2015,10,13,,3,42,,75807664.06
2015-10-14,2015,10,14,,4,42,,111236601.7
2015-10-15,2015,10,15,,5,42,,281390077.9
2015-10-16,2015,10,16,,6,42,,565953265.1
2015-10-17,2015,10,17,,7,42,,4944933.94
2015-10-18,2015,10,18,,1,43,,137576.05
2015-10-19,2015,10,19,,2,43,,19062288.85
2015-10-20,2015,10,20,,3,43,,25985455.42
2015-10-21,2015,10,21,,4,43,,18651739.25
2015-10-22,2015,10,22,,5,43,,16082215.77
2015-10-23,2015,10,23,,6,43,,8950936.267
2015-10-24,2015,10,24,,7,43,,2926002.98
2015-10-25,2015,10,25,,1,44,,10432.75
2015-10-26,2015,10,26,,2,44,,12450080.07
2015-10-27,2015,10,27,,3,44,,7153156.5
2015-10-28,2015,10,28,,4,44,,7253591.1
2015-10-29,2015,10,29,,5,44,,18092218.46
2015-10-30,2015,10,30,,6,44,,27052246.04
2015-10-31,2015,10,31,,7,44,,14054838.36
2015-11-01,2015,11,1,,1,45,,21800.42
2015-11-02,2015,11,2,,2,45,,573426.82
2015-11-03,2015,11,3,,3,45,,5602664.53
2015-11-04,2015,11,4,,4,45,,3683966.41
2015-11-05,2015,11,5,,5,45,,3677858.34
2015-11-06,2015,11,6,,6,45,,14800272.52
2015-11-07,2015,11,7,,7,45,,1940985.14
2015-11-08,2015,11,8,,1,46,,10996.7
2015-11-09,2015,11,9,,2,46,,15323490.64
2015-11-10,2015,11,10,,3,46,,27195768.65
2015-11-11,2015,11,11,,4,46,,47119090.67
2015-11-12,2015,11,12,,5,46,,61043332.2
2015-11-13,2015,11,13,,6,46,,352213988.7
2015-11-14,2015,11,14,,7,46,,23947189.13
2015-11-15,2015,11,15,,1,47,,1155154.37
2015-11-16,2015,11,16,,2,47,,275666975.8
2015-11-17,2015,11,17,,3,47,,580969784.8
2015-11-18,2015,11,18,,4,47,,46023134.77
2015-11-19,2015,11,19,,5,47,,14563094.87
2015-11-20,2015,11,20,,6,47,,18176871.66
2015-11-21,2015,11,21,,7,47,,2312310.25
2015-11-22,2015,11,22,,1,48,,52331.33
2015-11-23,2015,11,23,,2,48,,11452474.83
2015-11-24,2015,11,24,,3,48,,12954265.19
2015-11-25,2015,11,25,,4,48,,10285846.1
2015-11-26,2015,11,26,,5,48,,7452271.39
2015-11-27,2015,11,27,,6,48,,11222497.65
2015-11-28,2015,11,28,,7,48,,6578710.43
2015-11-29,2015,11,29,,1,49,,127068.41
2015-11-30,2015,11,30,,2,49,,25782969.94
2015-12-01,2015,12,1,,3,49,,2401158.219
2015-12-02,2015,12,2,,4,49,,3673716.375
2015-12-03,2015,12,3,,5,49,,3855796.231
2015-12-04,2015,12,4,,6,49,,3872160.663
2015-12-05,2015,12,5,,7,49,,4328622.697
2015-12-06,2015,12,6,,1,50,,7094317.33
2015-12-07,2015,12,7,,2,50,,7305603.869
2015-12-08,2015,12,8,,3,50,,10404273.75
2015-12-09,2015,12,9,,4,50,,46125879.48
2015-12-10,2015,12,10,,5,50,,75932738
2015-12-11,2015,12,11,,6,50,,36626458.39
2015-12-12,2015,12,12,,7,50,,176799813.8
2015-12-13,2015,12,13,,1,51,,106314669.1
2015-12-14,2015,12,14,,2,51,,68789386
2015-12-15,2015,12,15,,3,51,,103640995.9
2015-12-16,2015,12,16,,4,51,,281319339.7
2015-12-17,2015,12,17,,5,51,,397308653.1
2015-12-18,2015,12,18,,6,51,,164888282.7
2015-12-19,2015,12,19,,7,51,,64856098.64
2015-12-20,2015,12,20,,1,52,,14965456.12
2015-12-21,2015,12,21,,2,52,,37862687.35
2015-12-22,2015,12,22,,3,52,,46418658.16
2015-12-23,2015,12,23,,4,52,,10764888.02
2015-12-24,2015,12,24,,5,52,,9825703.832
2015-12-25,2015,12,25,,6,52,,8614869.876
2015-12-26,2015,12,26,,7,52,,9092561.356
2015-12-27,2015,12,27,,1,53,,12828386.24
2015-12-28,2015,12,28,,2,53,,10202830.47
2015-12-29,2015,12,29,,3,53,,10987539.86
2015-12-30,2015,12,30,,4,53,,22402299.94
2015-12-31,2015,12,31,,5,53,,9613158.508
2016-01-01,2016,1,1,,6,1,,4495171.464
2016-01-02,2016,1,2,,7,1,,22214729.05
2016-01-03,2016,1,3,,1,2,,4144132.949
2016-01-04,2016,1,4,,2,2,,3691150.101
2016-01-05,2016,1,5,,3,2,,4348832.23
2016-01-06,2016,1,6,,4,2,,5198289.039
2016-01-07,2016,1,7,,5,2,,27040565.88
2016-01-08,2016,1,8,,6,2,,27832049.34
2016-01-09,2016,1,9,,7,2,,15509275.8
2016-01-10,2016,1,10,,1,3,,37359282.84
2016-01-11,2016,1,11,,2,3,,65090266.9
2016-01-12,2016,1,12,,3,3,,98350304.1
2016-01-13,2016,1,13,,4,3,,52164077.58
2016-01-14,2016,1,14,,5,3,,87087648.24
2016-01-15,2016,1,15,,6,3,,146697907.9
2016-01-16,2016,1,16,,7,3,,188884718.2
2016-01-17,2016,1,17,,1,4,,227511970.2
2016-01-18,2016,1,18,,2,4,,176795694.8
2016-01-19,2016,1,19,,3,4,,50428758.83
2016-01-20,2016,1,20,,4,4,,23212428.66
2016-01-21,2016,1,21,,5,4,,24479871.65
2016-01-22,2016,1,22,,6,4,,40181796.91
2016-01-23,2016,1,23,,7,4,,8442109.332
2016-01-24,2016,1,24,,1,5,,6095476.09
2016-01-25,2016,1,25,,2,5,,6311792.668
2016-01-26,2016,1,26,,3,5,,7045825.123
2016-01-27,2016,1,27,,4,5,,25418280.41
2016-01-28,2016,1,28,,5,5,,23880027.26
2016-01-29,2016,1,29,,6,5,,10852703.44
2016-01-30,2016,1,30,,7,5,,12667577.78
2016-01-31,2016,1,31,,1,6,,6069401.216
2016-02-01,2016,2,1,,2,6,,9312892.36
2016-02-02,2016,2,2,,3,6,,5461260.22
2016-02-03,2016,2,3,,4,6,,8189699.38
2016-02-04,2016,2,4,,5,6,,4846233.09
2016-02-05,2016,2,5,,6,6,,13653472.33
2016-02-06,2016,2,6,,7,6,,2672043.5
2016-02-07,2016,2,7,,1,7,,100034.85
2016-02-08,2016,2,8,,2,7,,245317214
2016-02-09,2016,2,9,,3,7,,26084845.06
2016-02-10,2016,2,10,,4,7,,58672941.87
2016-02-11,2016,2,11,,5,7,,59535728.04
2016-02-12,2016,2,12,,6,7,,118160488.4
2016-02-13,2016,2,13,,7,7,,23152310.1
2016-02-14,2016,2,14,,1,8,,431039.71
2016-02-15,2016,2,15,,2,8,,166533213.8
2016-02-16,2016,2,16,,3,8,,279371993.8
2016-02-17,2016,2,17,,4,8,,553181917.4
2016-02-18,2016,2,18,,5,8,,17217762.61
2016-02-19,2016,2,19,,6,8,,18379286.1
2016-02-20,2016,2,20,,7,8,,6349283.57
2016-02-21,2016,2,21,,1,9,,56902.06
2016-02-22,2016,2,22,,2,9,,11059143.81
2016-02-23,2016,2,23,,3,9,,15114767.65
2016-02-24,2016,2,24,,4,9,,9757162.174
2016-02-25,2016,2,25,,5,9,,9991348.17
2016-02-26,2016,2,26,,6,9,,12890018.3
2016-02-27,2016,2,27,,7,9,,5103911.57
2016-02-28,2016,2,28,,1,10,,79908.09
2016-02-29,2016,2,29,,2,10,,28843340.3
2016-03-01,2016,3,1,,3,10,,9470756.494
2016-03-02,2016,3,2,,4,10,,7361972.31
2016-03-03,2016,3,3,,5,10,,5692004.821
2016-03-04,2016,3,4,,6,10,,7839898.765
2016-03-05,2016,3,5,,7,10,,3382292.438
2016-03-06,2016,3,6,,1,11,,69301.29
